Season,Game_Type,Date,Away_Team,Away_Score,Home_Team,Home_Score,Ended,Attendance,Game_Length,Game_Notes
1918,RS,1917-12-19,Montreal Canadiens,7,Ottawa Senators,4,,NA,NA,
1918,RS,1917-12-19,Toronto Arenas,9,Montreal Wanderers,10,,NA,NA,
1918,RS,1917-12-21,Ottawa Senators,4,Toronto Arenas,11,,NA,NA,
1918,RS,1917-12-21,Montreal Canadiens,11,Montreal Wanderers,2,,NA,NA,
1918,RS,1917-12-26,Ottawa Senators,6,Montreal Wanderers,3,,NA,NA,
1918,RS,1917-12-26,Montreal Canadiens,5,Toronto Arenas,7,,NA,NA,
1918,RS,1917-12-29,Toronto Arenas,2,Montreal Canadiens,9,,NA,NA,"at Montreal Arena (Montreal, QC)"
1918,RS,1917-12-29,Montreal Wanderers,2,Ottawa Senators,9,,NA,NA,
1918,RS,1918-01-02,Montreal Wanderers,0,Montreal Canadiens,1,,NA,NA,forfeit to Montreal Canadiens
1918,RS,1918-01-02,Toronto Arenas,6,Ottawa Senators,5,,NA,NA,
1918,RS,1918-01-05,Ottawa Senators,5,Montreal Canadiens,6,OT,NA,NA,
1918,RS,1918-01-05,Montreal Wanderers,0,Toronto Arenas,1,,NA,NA,forfeit to Toronto
1918,RS,1918-01-09,Montreal Canadiens,4,Toronto Arenas,6,,NA,NA,
1918,RS,1918-01-12,Ottawa Senators,4,Montreal Canadiens,9,,NA,NA,
1918,RS,1918-01-14,Toronto Arenas,6,Ottawa Senators,9,,NA,NA,
1918,RS,1918-01-16,Ottawa Senators,4,Toronto Arenas,5,,NA,NA,
1918,RS,1918-01-19,Toronto Arenas,1,Montreal Canadiens,5,,NA,NA,
1918,RS,1918-01-21,Montreal Canadiens,5,Ottawa Senators,3,,NA,NA,
1918,RS,1918-01-23,Ottawa Senators,4,Montreal Canadiens,3,,NA,NA,
1918,RS,1918-01-26,Toronto Arenas,3,Ottawa Senators,6,,NA,NA,
1918,RS,1918-01-28,Montreal Canadiens,1,Toronto Arenas,5,,NA,NA,
1918,RS,1918-01-30,Montreal Canadiens,5,Ottawa Senators,2,,NA,NA,
1918,RS,1918-02-02,Toronto Arenas,2,Montreal Canadiens,11,,NA,NA,
1918,RS,1918-02-04,Ottawa Senators,2,Toronto Arenas,8,,NA,NA,
1918,RS,1918-02-06,Montreal Canadiens,3,Ottawa Senators,6,,NA,NA,
1918,RS,1918-02-09,Toronto Arenas,7,Montreal Canadiens,3,,NA,NA,
1918,RS,1918-02-11,Ottawa Senators,1,Toronto Arenas,3,,NA,NA,
1918,RS,1918-02-13,Toronto Arenas,6,Ottawa Senators,1,,NA,NA,
1918,RS,1918-02-16,Ottawa Senators,4,Montreal Canadiens,10,,NA,NA,
1918,RS,1918-02-18,Montreal Canadiens,9,Toronto Arenas,0,,NA,NA,
1918,RS,1918-02-20,Toronto Arenas,4,Montreal Canadiens,5,OT,NA,NA,
1918,RS,1918-02-23,Ottawa Senators,3,Toronto Arenas,9,,NA,NA,
1918,RS,1918-02-25,Montreal Canadiens,0,Ottawa Senators,8,,NA,NA,
1918,RS,1918-02-27,Ottawa Senators,3,Montreal Canadiens,1,,NA,NA,"at Quebec City, QC"
1918,RS,1918-03-02,Montreal Canadiens,3,Toronto Arenas,5,,NA,NA,
1918,RS,1918-03-06,Toronto Arenas,3,Ottawa Senators,9,,NA,NA,
1919,RS,1918-12-21,Ottawa Senators,5,Montreal Canadiens,2,,NA,NA,NA
1919,RS,1918-12-23,Montreal Canadiens,4,Toronto Arenas,3,,NA,NA,NA
1919,RS,1918-12-26,Toronto Arenas,2,Ottawa Senators,5,,NA,NA,NA
1919,RS,1918-12-28,Toronto Arenas,3,Montreal Canadiens,6,,NA,NA,NA
1919,RS,1918-12-31,Ottawa Senators,2,Toronto Arenas,4,,NA,NA,NA
1919,RS,1919-01-02,Montreal Canadiens,2,Ottawa Senators,7,,NA,NA,NA
1919,RS,1919-01-04,Ottawa Senators,2,Montreal Canadiens,5,,NA,NA,NA
1919,RS,1919-01-07,Montreal Canadiens,7,Toronto Arenas,6,,NA,NA,NA
1919,RS,1919-01-09,Toronto Arenas,2,Ottawa Senators,4,,NA,NA,NA
1919,RS,1919-01-11,Toronto Arenas,4,Montreal Canadiens,13,,NA,NA,NA
1919,RS,1919-01-14,Ottawa Senators,2,Toronto Arenas,5,,NA,NA,NA
1919,RS,1919-01-16,Montreal Canadiens,10,Ottawa Senators,6,,NA,NA,NA
1919,RS,1919-01-18,Ottawa Senators,3,Montreal Canadiens,5,,NA,NA,NA
1919,RS,1919-01-21,Montreal Canadiens,3,Toronto Arenas,11,,NA,NA,NA
1919,RS,1919-01-23,Toronto Arenas,2,Ottawa Senators,3,,NA,NA,NA
1919,RS,1919-01-25,Ottawa Senators,1,Montreal Canadiens,0,,NA,NA,NA
1919,RS,1919-01-28,Ottawa Senators,2,Toronto Arenas,1,OT,NA,NA,NA
1919,RS,1919-01-30,Montreal Canadiens,2,Ottawa Senators,3,OT,NA,NA,NA
1919,RS,1919-02-01,Toronto Arenas,0,Montreal Canadiens,10,,NA,NA,NA
1919,RS,1919-02-04,Montreal Canadiens,3,Toronto Arenas,6,,NA,NA,NA
1919,RS,1919-02-06,Toronto Arenas,1,Ottawa Senators,3,,NA,NA,NA
1919,RS,1919-02-08,Ottawa Senators,3,Montreal Canadiens,4,,NA,NA,NA
1919,RS,1919-02-11,Montreal Canadiens,4,Toronto Arenas,6,,NA,NA,NA
1919,RS,1919-02-13,Montreal Canadiens,0,Ottawa Senators,7,,NA,NA,NA
1919,RS,1919-02-15,Toronto Arenas,2,Montreal Canadiens,8,,NA,NA,NA
1919,RS,1919-02-18,Ottawa Senators,4,Toronto Arenas,3,OT,NA,NA,NA
1919,RS,1919-02-20,Toronto Arenas,3,Ottawa Senators,9,,NA,NA,NA
1920,RS,1919-12-23,Toronto St. Patricks,0,Ottawa Senators,3,,NA,NA,
1920,RS,1919-12-24,Montreal Canadiens,12,Quebec Athletic Club/Bulldogs,5,,NA,NA,
1920,RS,1919-12-27,Quebec Athletic Club/Bulldogs,4,Toronto St. Patricks,7,,NA,NA,
1920,RS,1919-12-27,Ottawa Senators,2,Montreal Canadiens,0,,NA,NA,"at The Arena (Ottawa, ON)"
1920,RS,1919-12-31,Montreal Canadiens,1,Toronto St. Patricks,5,,NA,NA,
1920,RS,1920-01-01,Ottawa Senators,3,Quebec Athletic Club/Bulldogs,2,,NA,NA,
1920,RS,1920-01-03,Ottawa Senators,3,Toronto St. Patricks,4,,NA,NA,
1920,RS,1920-01-07,Montreal Canadiens,3,Ottawa Senators,4,,NA,NA,
1920,RS,1920-01-07,Toronto St. Patricks,5,Quebec Athletic Club/Bulldogs,7,,NA,NA,
1920,RS,1920-01-10,Toronto St. Patricks,7,Montreal Canadiens,14,,NA,NA,
1920,RS,1920-01-10,Quebec Athletic Club/Bulldogs,1,Ottawa Senators,7,,NA,NA,
1920,RS,1920-01-12,Quebec Athletic Club/Bulldogs,3,Montreal Canadiens,7,,NA,NA,
1920,RS,1920-01-14,Montreal Canadiens,4,Toronto St. Patricks,3,,NA,NA,
1920,RS,1920-01-14,Ottawa Senators,2,Quebec Athletic Club/Bulldogs,1,,NA,NA,
1920,RS,1920-01-17,Ottawa Senators,2,Montreal Canadiens,3,,NA,NA,
1920,RS,1920-01-17,Quebec Athletic Club/Bulldogs,3,Toronto St. Patricks,8,,NA,NA,
1920,RS,1920-01-21,Toronto St. Patricks,2,Montreal Canadiens,3,,NA,NA,
1920,RS,1920-01-21,Quebec Athletic Club/Bulldogs,1,Ottawa Senators,12,,NA,NA,
1920,RS,1920-01-24,Montreal Canadiens,8,Quebec Athletic Club/Bulldogs,4,,NA,NA,
1920,RS,1920-01-24,Ottawa Senators,3,Toronto St. Patricks,5,,NA,NA,
1920,RS,1920-01-28,Quebec Athletic Club/Bulldogs,3,Montreal Canadiens,4,OT,NA,NA,
1920,RS,1920-01-28,Toronto St. Patricks,0,Ottawa Senators,7,,NA,NA,
1920,RS,1920-01-31,Montreal Canadiens,3,Ottawa Senators,11,,NA,NA,
1920,RS,1920-01-31,Toronto St. Patricks,6,Quebec Athletic Club/Bulldogs,10,,NA,NA,
1920,RS,1920-02-04,Ottawa Senators,5,Quebec Athletic Club/Bulldogs,0,,NA,NA,
1920,RS,1920-02-04,Montreal Canadiens,6,Toronto St. Patricks,5,,NA,NA,
1920,RS,1920-02-07,Quebec Athletic Club/Bulldogs,2,Montreal Canadiens,6,,NA,NA,
1920,RS,1920-02-07,Toronto St. Patricks,4,Ottawa Senators,3,,NA,NA,
1920,RS,1920-02-11,Montreal Canadiens,3,Ottawa Senators,4,,NA,NA,
1920,RS,1920-02-11,Quebec Athletic Club/Bulldogs,2,Toronto St. Patricks,7,,NA,NA,
1920,RS,1920-02-14,Ottawa Senators,3,Montreal Canadiens,2,OT,NA,NA,
1920,RS,1920-02-16,Toronto St. Patricks,4,Quebec Athletic Club/Bulldogs,3,,NA,NA,
1920,RS,1920-02-18,Toronto St. Patricks,8,Montreal Canadiens,2,,NA,NA,
1920,RS,1920-02-18,Quebec Athletic Club/Bulldogs,3,Ottawa Senators,9,,NA,NA,
1920,RS,1920-02-21,Montreal Canadiens,7,Quebec Athletic Club/Bulldogs,8,OT,NA,NA,
1920,RS,1920-02-21,Ottawa Senators,5,Toronto St. Patricks,3,,NA,NA,
1920,RS,1920-02-25,Montreal Canadiens,3,Ottawa Senators,6,,NA,NA,
1920,RS,1920-02-25,Toronto St. Patricks,8,Quebec Athletic Club/Bulldogs,2,,NA,NA,
1920,RS,1920-02-28,Quebec Athletic Club/Bulldogs,6,Montreal Canadiens,8,,NA,NA,
1920,RS,1920-02-28,Ottawa Senators,1,Toronto St. Patricks,0,,NA,NA,
1920,RS,1920-03-03,Toronto St. Patricks,4,Ottawa Senators,7,,NA,NA,
1920,RS,1920-03-03,Montreal Canadiens,16,Quebec Athletic Club/Bulldogs,3,,NA,NA,
1920,RS,1920-03-06,Ottawa Senators,4,Montreal Canadiens,3,OT,NA,NA,
1920,RS,1920-03-06,Quebec Athletic Club/Bulldogs,2,Toronto St. Patricks,11,,NA,NA,
1920,RS,1920-03-08,Quebec Athletic Club/Bulldogs,6,Ottawa Senators,11,,NA,NA,
1920,RS,1920-03-10,Toronto St. Patricks,2,Montreal Canadiens,7,,NA,NA,
1920,RS,1920-03-10,Ottawa Senators,4,Quebec Athletic Club/Bulldogs,10,,NA,NA,
1920,RS,1920-03-13,Montreal Canadiens,4,Toronto St. Patricks,11,,NA,NA,
1921,RS,1920-12-22,Toronto St. Patricks,3,Ottawa Senators,6,,NA,NA,NA
1921,RS,1920-12-22,Montreal Canadiens,0,Hamilton Tigers,5,,NA,NA,NA
1921,RS,1920-12-25,Montreal Canadiens,4,Toronto St. Patricks,5,,NA,NA,NA
1921,RS,1920-12-27,Hamilton Tigers,1,Ottawa Senators,3,,NA,NA,NA
1921,RS,1920-12-29,Hamilton Tigers,6,Montreal Canadiens,2,,NA,NA,NA
1921,RS,1920-12-29,Ottawa Senators,8,Toronto St. Patricks,1,,NA,NA,NA
1921,RS,1921-01-03,Toronto St. Patricks,5,Hamilton Tigers,4,,NA,NA,NA
1921,RS,1921-01-03,Montreal Canadiens,2,Ottawa Senators,8,,NA,NA,NA
