"Season","Player_ID","Player_Name","Age","Team","Team_Bkdwn_Flag","Seas_Sum_Flag","Pos","GP","GS","W","L","TOSL","GA","SA","SV","SV_Pct","GAA","SO","GPS","MIN","QS","QS_Pct","RBS","GA_Pct_Rel","GSAA","G","A","PTS","PIM","soAtt","soMade","soMiss","soPct"
1918,"benedcl01","Clint Benedict*","25","OTS",0,0,"G","22","","9","13","0","114","","","","5.11","1","3.7","1337","","","","","","0","0","0","0",NA,NA,NA,NA
1918,"brookar01","Art Brooks","28","TRA",0,0,"G","4","","2","2","0","23","","","","6.27","0","0.4","220","","","","","","0","0","0","0",NA,NA,NA,NA
1918,"hebersa01","Sammy Hebert","23","TRA",0,0,"G","2","","1","0","0","10","","","","7.50","0","0.0","80","","","","","","0","0","0","0",NA,NA,NA,NA
1918,"holmeha01","Hap Holmes*","29","TRA",0,0,"G","16","","9","7","0","76","","","","4.73","0","3.1","965","","","","","","0","0","0","0",NA,NA,NA,NA
1918,"lindsbe01","Bert Lindsay","36","MTW",0,0,"G","4","","1","3","0","35","","","","8.75","0","-0.2","240","","","","","","0","0","0","0",NA,NA,NA,NA
1918,"vezinge01","Georges Vezina*","31","MTL",0,0,"G","21","","12","9","0","84","","","","3.93","1","5.1","1282","","","","","","0","0","0","0",NA,NA,NA,NA
1919,"benedcl01","Clint Benedict*","26","OTS",0,0,"G","18","","12","6","0","53","","","","2.86","2","4.5","1111","","","","","","0","0","0","3",NA,NA,NA,NA
1919,"cleghsp01","Sprague Cleghorn*","28","OTS",0,0,"G","1","","0","0","0","0","","","","0.00","0","0.0","3","","","","","","7","8","15","27",NA,NA,NA,NA
1919,"holmeha01","Hap Holmes*","30","TRA",0,0,"G","2","","0","2","0","9","","","","4.50","0","0.3","120","","","","","","0","0","0","0",NA,NA,NA,NA
1919,"lindsbe01","Bert Lindsay","37","TRA",0,0,"G","16","","5","11","0","83","","","","5.09","0","1.5","978","","","","","","0","0","0","0",NA,NA,NA,NA
1919,"vezinge01","Georges Vezina*","32","MTL",0,0,"G","18","","10","8","0","78","","","","4.27","1","2.7","1097","","","","","","0","1","1","0",NA,NA,NA,NA
1920,"benedcl01","Clint Benedict*","27","OTS",0,0,"G","24","","19","5","0","64","","","","2.66","5","7.6","1443","","","","","","0","0","0","2",NA,NA,NA,NA
1920,"brophfr01","Frank Brophy","19","QBC",0,0,"G","21","","3","18","0","148","","","","7.11","0","1.1","1249","","","","","","0","0","0","0",NA,NA,NA,NA
1920,"darraja01","Jack Darragh*","29","OTS",0,0,"G","1","","0","0","0","0","","","","0.00","0","0.0","2","","","","","","23","14","37","22",NA,NA,NA,NA
1920,"forbeja01","Jake Forbes","22","TRS",0,0,"G","5","","2","3","0","21","","","","4.20","0","1.1","300","","","","","","0","0","0","0",NA,NA,NA,NA
1920,"lockhho01","Howard Lockhart","24","TOT",0,1,"G","8","","4","3","0","36","","","","5.84","0","-0.2","370","","","","","","0","0","0","0",NA,NA,NA,NA
1920,"lockhho01","Howard Lockhart","24","TRS",1,0,"G","7","","4","2","0","25","","","","4.84","0","0.0","310","","","","","","0","0","0","0",NA,NA,NA,NA
1920,"lockhho01","Howard Lockhart","24","QBC",1,0,"G","1","","0","1","0","11","","","","11.00","0","-0.2","60","","","","","","0","","","0",NA,NA,NA,NA
1920,"mitchiv01","Mike Mitchell","26","TRS",0,0,"G","16","","6","7","0","60","","","","4.34","0","3.0","830","","","","","","0","0","0","0",NA,NA,NA,NA
1920,"mummeha01","Harry Mummery","30","QBC",0,0,"G","3","","1","1","0","18","","","","7.63","0","0.1","142","","","","","","9","9","18","38",NA,NA,NA,NA
1920,"vezinge01","Georges Vezina*","33","MTL",0,0,"G","24","","13","11","0","113","","","","4.66","0","4.8","1455","","","","","","0","0","0","0",NA,NA,NA,NA
1921,"benedcl01","Clint Benedict*","28","OTS",0,0,"G","24","","14","10","0","75","","","","3.08","2","5.8","1462","","","","","","0","0","0","0",NA,NA,NA,NA
1921,"forbeja01","Jake Forbes","23","TRS",0,0,"G","20","","13","7","0","78","","","","3.83","0","3.8","1221","","","","","","0","0","0","0",NA,NA,NA,NA
1921,"lockhho01","Howard Lockhart","25","HAM",0,0,"G","24","","6","18","0","132","","","","5.45","1","1.9","1454","","","","","","0","0","0","0",NA,NA,NA,NA
1921,"mitchiv01","Mike Mitchell","27","TRS",0,0,"G","4","","2","2","0","22","","","","5.50","0","0.3","240","","","","","","0","0","0","0",NA,NA,NA,NA
1921,"vezinge01","Georges Vezina*","34","MTL",0,0,"G","24","","13","11","0","99","","","","4.12","1","4.1","1441","","","","","","0","0","0","0",NA,NA,NA,NA
1922,"benedcl01","Clint Benedict*","29","OTS",0,0,"G","24","","14","8","2","84","","","","3.34","2","5.0","1508","","","","","","0","0","0","0",NA,NA,NA,NA
1922,"cleghsp01","Sprague Cleghorn*","31","MTL",0,0,"G","1","","0","0","0","0","","","","0.00","0","0.0","2","","","","","","17","9","26","80",NA,NA,NA,NA
1922,"lockhho01","Howard Lockhart","26","HAM",0,0,"G","24","","6","17","0","103","","","","4.39","0","2.9","1408","","","","","","0","0","0","0",NA,NA,NA,NA
