"Season","Game_Type","Player_ID","Player_Name","Hof","Age","Team_ID","Team_Name","Team_Bkdwn_Flag","Seas_Sum_Flag","Pos1","GP","GS","W","L","TOSL","GA","SA","SV","SV_Pct","GAA","SO","GPS","MIN","QS","QS_Pct","RBS","GA_Pct_Rel","GSAA","G","A","PTS","PIM","soAtt","soMade","soMiss","soPct"
1918,"REG","benedcl01","Clint Benedict",TRUE,25,"OTS","Ottawa Senators",0,0,"G",22,NA,9,13,0,114,NA,NA,NA,5.11,1,3.7,1337,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1918,"REG","brookar01","Art Brooks",FALSE,28,"TRA","Toronto Arenas",0,0,"G",4,NA,2,2,0,23,NA,NA,NA,6.27,0,0.4,220,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1918,"REG","hebersa01","Sammy Hebert",FALSE,23,"TRA","Toronto Arenas",0,0,"G",2,NA,1,0,0,10,NA,NA,NA,7.5,0,0,80,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1918,"REG","holmeha01","Hap Holmes",TRUE,29,"TRA","Toronto Arenas",0,0,"G",16,NA,9,7,0,76,NA,NA,NA,4.73,0,3.1,965,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1918,"REG","lindsbe01","Bert Lindsay",FALSE,36,"MTW","Montreal Wanderers",0,0,"G",4,NA,1,3,0,35,NA,NA,NA,8.75,0,-0.2,240,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1918,"REG","vezinge01","Georges Vezina",TRUE,31,"MTL","Montreal Canadiens",0,0,"G",21,NA,12,9,0,84,NA,NA,NA,3.93,1,5.1,1282,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1919,"REG","benedcl01","Clint Benedict",TRUE,26,"OTS","Ottawa Senators",0,0,"G",18,NA,12,6,0,53,NA,NA,NA,2.86,2,4.5,1111,NA,NA,NA,NA,NA,0,0,0,3,NA,NA,NA,NA
1919,"REG","cleghsp01","Sprague Cleghorn",TRUE,28,"OTS","Ottawa Senators",0,0,"G",1,NA,0,0,0,0,NA,NA,NA,0,0,0,3,NA,NA,NA,NA,NA,7,8,15,27,NA,NA,NA,NA
1919,"REG","holmeha01","Hap Holmes",TRUE,30,"TRA","Toronto Arenas",0,0,"G",2,NA,0,2,0,9,NA,NA,NA,4.5,0,0.3,120,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1919,"REG","lindsbe01","Bert Lindsay",FALSE,37,"TRA","Toronto Arenas",0,0,"G",16,NA,5,11,0,83,NA,NA,NA,5.09,0,1.5,978,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1919,"REG","vezinge01","Georges Vezina",TRUE,32,"MTL","Montreal Canadiens",0,0,"G",18,NA,10,8,0,78,NA,NA,NA,4.27,1,2.7,1097,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA
1920,"REG","benedcl01","Clint Benedict",TRUE,27,"OTS","Ottawa Senators",0,0,"G",24,NA,19,5,0,64,NA,NA,NA,2.66,5,7.6,1443,NA,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA
1920,"REG","brophfr01","Frank Brophy",FALSE,19,"QBC","Quebec Athletic Club/Bulldogs",0,0,"G",21,NA,3,18,0,148,NA,NA,NA,7.11,0,1.1,1249,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1920,"REG","darraja01","Jack Darragh",TRUE,29,"OTS","Ottawa Senators",0,0,"G",1,NA,0,0,0,0,NA,NA,NA,0,0,0,2,NA,NA,NA,NA,NA,23,14,37,22,NA,NA,NA,NA
1920,"REG","forbeja01","Jake Forbes",FALSE,22,"TRS","Toronto St. Patricks",0,0,"G",5,NA,2,3,0,21,NA,NA,NA,4.2,0,1.1,300,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1920,"REG","lockhho01","Howard Lockhart",FALSE,24,"TOT","Total",0,1,"G",8,NA,4,3,0,36,NA,NA,NA,5.84,0,-0.2,370,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1920,"REG","lockhho01","Howard Lockhart",FALSE,24,"TRS","Toronto St. Patricks",1,0,"G",7,NA,4,2,0,25,NA,NA,NA,4.84,0,0,310,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1920,"REG","lockhho01","Howard Lockhart",FALSE,24,"QBC","Quebec Athletic Club/Bulldogs",1,0,"G",1,NA,0,1,0,11,NA,NA,NA,11,0,-0.2,60,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
1920,"REG","mitchiv01","Mike Mitchell",FALSE,26,"TRS","Toronto St. Patricks",0,0,"G",16,NA,6,7,0,60,NA,NA,NA,4.34,0,3,830,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
1920,"REG","mummeha01","Harry Mummery",FALSE,30,"QBC","Quebec Athletic Club/Bulldogs",0,0,"G",3,NA,1,1,0,18,NA,NA,NA,7.63,0,0.1,142,NA,NA,NA,NA,NA,9,9,18,38,NA,NA,NA,NA
1920,"REG","vezinge01","Georges Vezina",TRUE,33,"MTL","Montreal Canadiens",0,0,"G",24,NA,13,11,0,113,NA,NA,NA,4.66,0,4.8,1455,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
