Table,Names,Min,Max,Avg
nhl.01.ss,A,0,163,12.45
nhl.02.gs,A,0,35,0.63
nhl.01.ss,A_perGm,0,3,0.24
nhl.01.ss,adjA,0,129,14.41
nhl.01.ss,adjG,0,78,8.70
nhl.01.ss,adjGC,0,70,8.68
nhl.01.ss,adjPTS,0,190,23.11
nhl.01.ss,Age,16,51,26.28
nhl.02.gs,Age,17,46,27.46
nhl.01.ss,TSA,0,873,146.13
nhl.04.gr,Attendance,,"9,934",NA
nhl.01.ss,Avg_ShiftLength_perGm,0:02,1:33,NA
nhl.01.ss,Avg_TOI,,9:59,NA
nhl.04.gr,Away_Score,0,16,2.82
nhl.04.gr,Away_Team,Anaheim Ducks,Winnipeg Jets,NA
nhl.01.ss,BLK,0,283,34.15
nhl.03.ls,Conference,Clarence Campbell,Western,NA
nhl.04.gr,Date,1917-12-19,2021-05-19,NA
nhl.03.ls,Division,Adams,West,NA
nhl.01.ss,DPS,-1.5,9.9,1.22
nhl.01.ss,dZS_Pct,0,100,49.59
nhl.04.gr,Ended,,SO,NA
nhl.01.ss,esA,0,105,8.96
nhl.01.ss,esCA,0,1862,593.74
nhl.01.ss,esCF,0,1948,595.53
nhl.01.ss,esCF_Pct,0,100,48.99
nhl.01.ss,esFA,0,1350,444.05
nhl.01.ss,esFF,0,1473,445.27
nhl.01.ss,esFF_Pct,0,100,48.97
nhl.01.ss,esG,0,68,5.60
nhl.01.ss,esGA_per60,0,80,2.51
nhl.01.ss,esGF_per60,0,41.9,2.23
nhl.01.ss,esRelCF_Pct,-53.7,55.1,-1.46
nhl.01.ss,esRelFF_Pct,-76,52.8,-1.50
nhl.01.ss,esTOI_per60,,0.417,NA
nhl.01.ss,esTOI_perGm,0:45,934:03:00,NA
nhl.01.ss,FO_Pct,0,100,42.23
nhl.01.ss,FOL,0,941,71.12
nhl.01.ss,FOW,0,1273,71.11
nhl.01.ss,G,0,92,7.63
nhl.02.gs,G,0,36,0.05
nhl.01.ss,G_perGm,0,3,0.15
nhl.02.gs,GA,0,310,74.45
nhl.03.ls,GA,42,446,225.20
nhl.02.gs,GA_Pct_Rel,58,153,101.67
nhl.02.gs,GAA,0,184.62,3.31
nhl.04.gr,Game_Length,,4:31,NA
nhl.04.gr,Game_Type,RS,RS,NA
nhl.01.ss,GC,0,82,8.27
nhl.01.ss,GC_perGm,0,1.98,0.15
nhl.03.ls,GF,33,446,225.20
nhl.01.ss,GP,0,86,43.88
nhl.02.gs,GP,1,79,26.84
nhl.03.ls,GP,6,84,72.76
nhl.02.gs,GPS,-2.60,20.90,4.21
nhl.02.gs,GS,0,77,24.57
nhl.02.gs,GSAA,-65.03,72.65,0.53
nhl.01.ss,GV,0,153,21.28
nhl.01.ss,GWG,0,16,1.08
nhl.03.ls,Half,First,Second,NA
nhl.01.ss,HIT,0,382,55.13
nhl.04.gr,Home_Score,0,15,3.28
nhl.04.gr,Home_Team,Anaheim Ducks,Winnipeg Jets,NA
nhl.02.gs,L,0,48,10.46
nhl.03.ls,L,1,71,29.71
nhl.02.gs,MIN,0,4697,1512.76
nhl.04.gr,Game_Notes,NA,NA,NA
nhl.01.ss,oiPKGA,0,74,7.96
nhl.01.ss,oiPPGF,0,110,10.20
nhl.01.ss,oiSH_Pct,0,100,7.75
nhl.01.ss,oiSV_Pct,0,100,91.54
nhl.01.ss,oiTGA,0,185,39.63
nhl.01.ss,oiTGF,0,265,41.45
nhl.03.ls,OL,0,18,7.95
nhl.01.ss,OPS,-3,17.7,1.19
nhl.01.ss,oZS_Pct,0,100,50.41
nhl.01.ss,PDO,0,200,99.29
nhl.01.ss,PIM,0,472,36.64
nhl.02.gs,PIM,0,113,3.86
nhl.01.ss,PIM_perGm,0,31,0.81
nhl.01.ss,Player_ID,aaltoan01,zyuzian01,NA
nhl.02.gs,Player_ID,abbotge01,zeppro01,NA
nhl.01.ss,Player_Name,A.J. Greer,Ziggy Palffy,NA
nhl.02.gs,Player_Name,Aaron Dell,Zane McIntyre,NA
nhl.03.ls,Playoffs,N,Y,NA
nhl.01.ss,PlusMinus,-82,124,-0.71
nhl.01.ss,Pos1,C,W,NA
nhl.01.ss,Pos2,C,W,NA
nhl.01.ss,ppA,0,58,3.35
nhl.01.ss,ppG,0,34,1.82
nhl.01.ss,ppGA_per60,0,124.10,0.80
nhl.01.ss,ppGF_per60,0,720,4.98
nhl.01.ss,ppRelCF_Pct,-100,100,-3.73
nhl.01.ss,ppTOI_perGm,0:00,6:14,NA
nhl.01.ss,PS,-2.40,22.80,2.20
nhl.01.ss,PTS,0,215,20.08
nhl.02.gs,PTS,0,57,0.68
nhl.03.ls,PTS,2,132,75.88
nhl.03.ls,PTS_Pct,0.13,0.88,0.52
nhl.01.ss,PTS_perGm,0,3,0.38
nhl.02.gs,QS,0,50,13.13
nhl.02.gs,QS_Pct,0,1,0.49
nhl.02.gs,RBS,0,22,3.88
nhl.03.ls,RgPt_Pct,0.24,0.71,0.50
nhl.03.ls,RgRec,11-23-14,51-16-15,NA
nhl.03.ls,ROW,12,56,35.10
nhl.03.ls,RPt_Pct,0.21,0.74,0.50
nhl.03.ls,RW,11,38,24.27
nhl.01.ss,S,0,550,75.97
nhl.01.ss,S_Pct,0,100,8.56
nhl.01.ss,S_perGm,0,7.05,1.47
nhl.02.gs,SA,0,2574,744.06
nhl.01.ss,SAThruToNet_Pct,0,100,54.04
nhl.01.ss,Seas_Sum_Flag,0,1,0.07
nhl.02.gs,Seas_Sum_Flag,0,1,0.05
nhl.01.ss,Season,1918,2021,1991
nhl.02.gs,Season,1918,2021,1991
nhl.03.ls,Season,1918,2021,1986
nhl.04.gr,Season,1918,2021,1990
nhl.01.ss,shA,0,15,0.25
nhl.01.ss,shG,0,13,0.25
nhl.01.ss,shGA_per60,0,3600,7.60
nhl.01.ss,shGF_per60,0,400,0.94
nhl.01.ss,shRelCF_Pct,-66.7,100,2.25
nhl.01.ss,shTOI_perGm,0:00,6:23,NA
nhl.02.gs,SO,0,22,1.47
nhl.01.ss,soAtt,0,18,0.82
nhl.02.gs,soAtt,1,75,14.38
nhl.01.ss,soMade,0,11,1.09
nhl.02.gs,soMade,0,21,4.60
